estimate,term,conf.high,conf.low,std.error,statistic,period,Cohort,N,Outcome,Model
-94.26148869053466,PERIOD[T.-2],-68.28131198207677,-120.24166539899255,13.255435769935678,-7.111157288719755,-2,1.Overall (N=70393),70393,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
278.012875852563,PERIOD[T.0],303.9422103408923,252.08354136423375,13.229495385046127,21.014624349679508,0,1.Overall (N=70393),70393,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
241.7069023618716,PERIOD[T.1],280.45364073441516,202.9601639893281,19.769107329610573,12.226495528194036,1,1.Overall (N=70393),70393,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
0.0,PERIOD-1,,,,,-1,1.Overall (N=70393),70393,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
-86.49742974892077,PERIOD[T.-2],-55.52160978165993,-117.4732497161816,15.804280186571873,-5.473038235706136,-2,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
234.8828197250111,PERIOD[T.0],265.73457549326764,204.03106395675456,15.740980962717295,14.921739647696285,0,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
205.30668031807204,PERIOD[T.1],251.45268436604437,159.1606762700997,23.544312248575032,8.720011786731964,1,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
0.0,PERIOD-1,,,,,-1,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
-39.89480891158691,PERIOD[T.-2],1.4821986491246264,-81.27181647229844,21.111106064748174,-1.889754558061939,-2,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
332.46921972738954,PERIOD[T.0],373.94755915257406,290.990880302205,21.16280694561754,15.71007194753238,0,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
130.11907520625314,PERIOD[T.1],192.62587624193247,67.61227417057381,31.89181103771549,4.080015244426645,1,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
0.0,PERIOD-1,,,,,-1,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
-15.791667435444154,PERIOD[T.-2],-14.340113717394203,-17.243221153494105,0.7406022403980997,-21.32273786662538,-2,1.Overall (N=70393),70393,MONTHLY_OVERALL_OOP,2. Random individual effect
11.026583451838698,PERIOD[T.0],12.474464706699488,9.57870219697791,0.7387285002589291,14.926435690478721,0,1.Overall (N=70393),70393,MONTHLY_OVERALL_OOP,2. Random individual effect
6.415477897460838,PERIOD[T.1],8.416190070270414,4.414765724651262,1.0207902740004098,6.284814874184687,1,1.Overall (N=70393),70393,MONTHLY_OVERALL_OOP,2. Random individual effect
0.0,PERIOD-1,,,,,-1,1.Overall (N=70393),70393,MONTHLY_OVERALL_OOP,2. Random individual effect
-14.676927688551414,PERIOD[T.-2],-13.0477437792833,-16.306111597819527,0.8312315543137061,-17.656846172868402,-2,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_OOP,2. Random individual effect
8.194603001985728,PERIOD[T.0],9.815171479651443,6.5740345243200125,0.8268358451729484,9.91079795321606,0,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_OOP,2. Random individual effect
4.195023424126589,PERIOD[T.1],6.41927397089616,1.9707728773570174,1.1348425605338548,3.6965686431016107,1,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_OOP,2. Random individual effect
0.0,PERIOD-1,,,,,-1,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_OOP,2. Random individual effect
-10.076246257814399,PERIOD[T.-2],-6.733538769034715,-13.418953746594081,1.705494343338211,-5.908108870119079,-2,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_OOP,2. Random individual effect
14.44826612217815,PERIOD[T.0],17.803940197082046,11.092592047274254,1.7121100700691572,8.43886521945084,0,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_OOP,2. Random individual effect
1.459045445504869,PERIOD[T.1],6.28393116864362,-3.3658402776338816,2.461721624069031,0.5926931100735843,1,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_OOP,2. Random individual effect
0.0,PERIOD-1,,,,,-1,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_OOP,2. Random individual effect
2.9283028155188435,PERIOD[T.-2],15.62743910744885,-9.770833476411163,6.479270227462941,0.4519494808392127,-2,1.Overall (N=70393),70393,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
8.41767705764843,PERIOD[T.0],21.093950259147668,-4.258596143850809,6.467605171058277,1.3015137496822595,0,1.Overall (N=70393),70393,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
