estimate,term,conf.high,conf.low,std.error,statistic,period,Cohort,N,Outcome,Model
-299.96338698667904,PERIOD-2,-224.6303626467397,-375.29641132661834,38.43592276906955,-7.8042457517910275,-2,1.Overall (N=5814),5814,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
511.9824811661372,PERIOD0,587.2023601584491,436.76260217382526,38.37819449012163,13.340452513937807,0,1.Overall (N=5814),5814,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
736.7630443005626,PERIOD1,845.7089875436513,627.8171010574738,55.585686319973476,13.254546144477903,1,1.Overall (N=5814),5814,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
-290.77494739602827,PERIOD-2,-214.31318705679297,-367.23670773526356,39.01181906522566,-7.4535090740031436,-2,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
502.7232550161994,PERIOD0,579.0654703602238,426.381039672175,38.95082559996105,12.906613589641143,0,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
722.9010613127093,PERIOD1,833.9870801315571,611.8150424938615,56.67758167756154,12.754620785080238,1,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
-200.52740814338,PERIOD-2,197.276433144451,-598.3312494312111,202.96487304137068,-0.987990705674997,-2,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
438.3866867102381,PERIOD0,837.3776817118401,39.39569170863609,203.57057484157474,2.15348749224393,0,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
460.08635366168477,PERIOD1,1000.7056785236864,-80.53297120031681,275.83125461811443,1.667999350902673,1,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
-2.361492339779066,PERIOD-2,0.6556031893348666,-5.378587868892998,1.5393627397811378,-1.5340713912010213,-2,1.Overall (N=5814),5814,MONTHLY_OVERALL_OOP,2. Random individual effect
5.0428006787432915,PERIOD0,8.055849588774247,2.029751768712336,1.5372981002699548,3.280301119124364,0,1.Overall (N=5814),5814,MONTHLY_OVERALL_OOP,2. Random individual effect
-5.01320779851505,PERIOD1,-0.7006241998725935,-9.325791397157506,2.2003381861399327,-2.278380582627506,1,1.Overall (N=5814),5814,MONTHLY_OVERALL_OOP,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_OVERALL_OOP,2. Random individual effect
