,,Grouped by Diabetes history,Grouped by Diabetes history,Grouped by Diabetes history,Grouped by Diabetes history,Grouped by Diabetes history
,,Missing,Overall,No Prior Diabetes,Prior Diabetes,P-Value
n,,,5587,399,5188,
"Age, median [Q1,Q3]",,0,"52.0 [43.0,60.0]","49.0 [36.0,60.0]","53.0 [43.0,60.0]",<0.001
"Sex, n (%)",Female,,3901 (69.8),300 (75.2),3601 (69.4),0.018
"Sex, n (%)",Male,,1686 (30.2),99 (24.8),1587 (30.6),
"First semaglutide - brand name, n (%)",Ozempic,,4959 (88.8),300 (75.2),4659 (89.8),<0.001
"First semaglutide - brand name, n (%)",RYBELSUS,,574 (10.3),57 (14.3),517 (10.0),
"First semaglutide - brand name, n (%)",WEGOVY,,54 (1.0),42 (10.5),12 (0.2),
"First semaglutide - dosage form, n (%)","INJECTION, SOLUTION",,5013 (89.7),342 (85.7),4671 (90.0),0.008
"First semaglutide - dosage form, n (%)",TABLET,,574 (10.3),57 (14.3),517 (10.0),
"First semaglutide - total payment, median [Q1,Q3]",,0,"0.0 [0.0,720.4]","2.0 [0.0,4.6]","0.0 [0.0,744.1]",0.043
"First semaglutide - out-of-pocket payment, median [Q1,Q3]",,0,"0.0 [0.0,0.0]","0.0 [0.0,4.2]","0.0 [0.0,0.0]",<0.001
"Average monthly total payment, median [Q1,Q3]",,0,"196.7 [7.3,1377.4]","74.8 [5.4,661.5]","211.4 [8.4,1442.2]",<0.001
"Average monthly out-of-pocket payment, median [Q1,Q3]",,0,"0.0 [0.0,2.3]","0.5 [0.0,4.5]","0.0 [0.0,2.1]",<0.001
